ID,month,sku_hash,product_type,product_gender,macro_function,function,sub_function,model,aesthetic_sub_line,macro_material,color,fr_FR_price,en_US_description,target
3d8a4ae769b526187c36901f204691a663333fa4_1,1,3d8a4ae769b526187c36901f204691a663333fa4,Leather Goods,Women,LG ACCESSORIES,SMALL LEATHER GOODS,COMPACT WALLETS,PF.VICTORINE,DAMIER AZUR,CANVAS,AZUR,370.0,"Fashioned from summery Damier Azur canvas, this compact Victorine Wallet gives you a stylish way to carry your daily essentials. Tiny yet very functional, it has six credit cards slots, two pockets for receipts and a large pocket for non-folded bills.",1366.0
c05a54f7067be054ec4b27d0d6081353ef7d9df6_1,1,c05a54f7067be054ec4b27d0d6081353ef7d9df6,Accessories,Women,FANCY ACCESSORIES,BAG CHARMS,BAG CHARMS,BAG CHARM PETITE MALLE,SANS LIGNE ESTHETIQUE,CANVAS,,295.0,"This collectible piece features our iconic Petite Malle - a Louis Vuitton icon since Nicolas Ghesquière's first show. With delicate details that express the Maison's finest know-how, it can also be personalized with hot-stamped initials on its backside, making it the perfect gift.",526.0
7cb4d3626bd48a9b523d8693266219c34aeccde8_1,1,7cb4d3626bd48a9b523d8693266219c34aeccde8,Leather Goods,Women,CITY BAGS,DAILY BAGS,SHOULDER BAGS,GIROLATA,MAHINA,LEATHER,GALET,2660.0,"The perfect summer companion, this effortlessly chic Girolata in Mahina calfskin is versatility incarnate. You can wear it in two ways, with the drawstring open, it can be carried as a large casual tote and without, it is an on-trend bucket bag. ",503.0
8e5967f90ff9fb93aa2840fceecc537b2e8e6ff3_1,1,8e5967f90ff9fb93aa2840fceecc537b2e8e6ff3,Leather Goods,Women,CITY BAGS,DAILY BAGS,SHOULDER BAGS,GIROLATA,MAHINA,LEATHER,MAGNOLIA,2660.0,"The perfect summer companion, this effortlessly chic Girolata in Mahina calfskin is versatility incarnate. You can wear it in two ways, with the drawstring open, it can be carried as a large casual tote and without, it is an on-trend bucket bag. ",276.0
6913a128945e0efeafc52101dcdeaa610eaa4430_1,1,6913a128945e0efeafc52101dcdeaa610eaa4430,Accessories,Men,FASHION JEWELRY,NECKLACES,NECKLACES,COLL.CHARMS FOR GENTLEMEN,SANS LIGNE ESTHETIQUE,NON PRECIOUS METAL,,325.0,This distinctive charm necklace reinterprets details of advertising posters from the Louis Vuitton archives in an uptown spirit inspired by the Fall/Winter 2017 men's show.,206.0
520a06a470791e2bd7719a5ad2d4d5bae011381a_1,1,520a06a470791e2bd7719a5ad2d4d5bae011381a,Leather Goods,Women,CITY BAGS,DAILY BAGS,SHOULDER BAGS,KIMONO,MONOGRAM,CANVAS,MONOGRAM,2680.0,"Eye-catching, isn’t it? The new Kimono tote combines Monogram canvas with fine calf leather for a riveting graphic effect. Why “Kimono”? The name alludes to the V-cross motif, inspired by the Japanese robe. In the purest tradition of House craftsmanship the bag features long Toron leather handles, a distinctive metallic V signature inspired by an historical advertising of the brand and impeccable edge-dyeing. Both roomy and remarkably light, the Kimono is a pleasure to carry.",89.0
0f853fe7aba1dc1aad40bb7e0bdfd7e60d761074_1,1,0f853fe7aba1dc1aad40bb7e0bdfd7e60d761074,Accessories,Women,FANCY ACCESSORIES,BAG CHARMS,CHAIN BAG CHARMS,CHAINE LOCK ME STRASS,SANS LIGNE ESTHETIQUE,NON PRECIOUS METAL,,350.0,"Precious miniatures of the iconic padlock and key from our trunks tell the story of Louis Vuitton and the art of travel. The exquisite craftsmanship on a variety of materials -- metal, enamel and sparkly strass -- is a testament to the House's know-how.",136.0
cac33ca99e315554cac5ebefb99aa4a63db6be14_1,1,cac33ca99e315554cac5ebefb99aa4a63db6be14,Accessories,Men,TEXTILES,SCARVES,WINTER SCARVES,ECHARPE MONOGRAM CLASSIC,SANS LIGNE ESTHETIQUE,TEXTILE,,280.0,"An essential addition to any wardrobe, this elegant wool scarf is discreetly woven with Louis Vuitton's iconic Monogram pattern. Finished with fringes, it is warm on one side and soft and silky on the other.",1053.0
ad22977f2d0c248fd991e4ab469704682cd3e910_1,1,ad22977f2d0c248fd991e4ab469704682cd3e910,Accessories,Men,BELTS,ASSEMBLED BELTS,40 MM BELTS,CEINT LV MONTANA,AUTRES CUIRS,LEATHER,,485.0,"Ideal for casual and urban wear, this belt in supple calf leather features a new Western-inspired version of the iconic LV Initiales buckle.",83.0
67423f43a9508595a4b54c11529af3bda8e81892_1,1,67423f43a9508595a4b54c11529af3bda8e81892,Accessories,Men,BELTS,ASSEMBLED BELTS,40 MM BELTS,CEINT LV INITIALES REV,CUIR TAURILLON,LEATHER,,485.0,"Featuring the iconic LV Initiales buckle, this reversible belt comes in two contrasting shades of supple and grained Taurillon leather, effectively offering two looks in one.",56.0
